Name,Website,Project_Name,Instagram,Twitter,thumb
Alberto Bonanni,https://www.albertobonanni.com/,UNITY,alberto_bonanni_rca,albertobonanni_,alberto-bonnani.png
Alexia Remoleux,https://alexremoleux.wixsite.com/myportfolio,Missing Scene,alxrmlx,,alexia-remoleux.png
Antoni Jencelewicz,https://antekjancelewicz.com/en/portfolio/,Synphony,pan_antoine,,antoni-jencelewicz.jpg
Gabrielle McGuinness,https://www.gabriellemcguinness.com/,You are not Immortal,gabrielleciara,GabrielleMcG95,gabrielle-mcguinness.jpg
Giulia Brancati,https://www.giuliabrancati.net/,Vaguely inappropriate,whatdonkeydid,whatdonkeydid,giulia-brancati.gif
Ivan BorojeviÄ‡,https://www.instagram.com/ixborojevic/,LEGACY,ixborojevic,,ivan-borojevic.png
Jack Hardiker,http://www.jackhardiker.com,TROCHILIDAE [HUMMINGBIRD],,,jack-hardiker.png
Jingwei Deng,https://vimeo.com/147120381,Jellyfish,dengjw29,,jingewei-deng.png
Karthika Sakthivel,https://www.instagram.com/karthika_sakthivel/,Mayajaal,karthika_sakthivel,,karthika-sakthivel.jpg
Maaike Klein,https://www.maaikeklein.uk,Pulling A Thread,,,maaike-kamila.jpg
Matthew Watkins,,Rotten Robots (Aibo's Epiphany),,,matt-watkins.png
Matthew Taylor,https://mtcoms.art,Divination,mtcoms,mtcoms,matthew-taylor.png
Mengge Qin,https://menggeqin.wixsite.com/website/home/final-project-erotic-fumble,Erotic Fumble,,,mengge-qin.png
Nicha Pair,https://www.pairnicha.com/,Sense of Nonsense,,,nicha-pair.png
Olfa ,https://olfarhat.art/,Ulterworld ,olf4arhts,,olfa-farhat.jpg
Olivia Powell,http://www.oliviarpowell.com/,With words that don't exist,,oliviarpowell,olivia-powell.jpg
Taeheon Lee,http://www.taeheonlee.com,"YOU, THE ONE",unexpec_ted,,taeheon-lee.jpg
Vivek Menon,https://www.behance.net/VivekMenonM,Agential Storytelling,vivek_menon795,vivekmenon795,vivek-menon.jpg
Xi Chen,https://chenachenc.com/,Transgression and Submission,chenachenc,,xi-chen.png
Kingsley Tao ,https://www.kingsleytao.com/,Ninfa,seonwoohwan_,,yue-tao.png
Yuting Chung,https://vimeo.com/tingchzy,Endless Kiss,Yutingg,,yuting-chung.png
Yuxiang He,https://yuxianghe0628.wixsite.com/yuxianghe,RRRRRRemenber,hhhhyx__,,yuxiang-he.jpg
Zhicheng Yang,https://zhichengyang.com/,Watching the sun,,,zhicheng-yang.jpg